Cote,Titre,Auteur,Lieu,Edition,Annee,Nb pages,Matiere,Inventaire
626/09 ج2,الهيدروليك. الجزء الثاني,"أصفري, أحمد فيصل",سوريا,جامعة حلب,1989,288,الهندسة المائية,14385
626/09 ج3,الهيدروليك. الجزء الثالث,"أصفري, أحمد فيصل",سوريا,جامعة حلب,1989,319,الهندسة المائية,14386
628.15/03,الهندسة الصحية والبلديات,"أصفري, أحمد فيصل",سوريا,جامعة حلب,1990,293,شبكة توزيع الماء,14387
82-992/10,الهيئة المصرية العامة للكتاب,"أصول الفكر العربي الحديث عند الطهطاوي, مع نص كامل لكتابه تخليص الأبريز",N/A,N/A,N/A,494,الرحلات,14388
912/04,دار المعارف,أطلس المعارض,القاهرة,N/A,1977,79,آطاليس,14389
330.11/33,المعهد العربي للتخطيط بالكويت,إعادة التعمير والتنمية في الكويت,الكويت,N/A,1992,42,الظواهر والأهداف الإقتصادية,14390
330.191.6/106,المعهد العربي للتخطيط,إعادة تدوير الأصول العربية المستتمرة في الخارج للمنطقة العربية,الكويت,N/A,1990,398,الإقتصاد العالمي,14391
297/39,مكتبة الحقيقة,إعترافات الجاسوس الإنكليزي وعداوتهم للإسلام,استانبول,N/A,1995,192,الإسلام,14392
93_927/14,"ثورة العرب ضد الأتراك: مقدمتها, أسبابها, نتائجها",أعضاء الجمعيات السرية العربية,بيروت,دار مصباح الفكر,1987,358,تاريخ العرب,14393
916/11,"جغرافية المناطق الجافة والتصحر ""الوسط الجغرافي الطبيعي في المناطق الجافةوالصحاري","آغا شاهر, جمال",دمشق,مطبعة الاتحاد,1990,480,جغرافية إفريقيا,14394
628.1/02 ج1,الهندسة الصحية,"آغا, محمد أمجد مراد",سوريا,جامعة حلب,1989,153,الماء,14395
628.31/01 ج1,"الصرف الصحي: ""1","آغا, محمد أمجد مراد",سوريا,جامعة حلب,1990,248,معالجة مياه المجاري,14396
628.31/01 ج2,الصرف الصحي. الجزء الثاني,"آغا, محمد أمجد مراد",سوريا,جامعة حلب,1991,311,معالجة مياه المجاري,14397
331/13,اقتصاد العمل وتخطيط القوى العاملة,"آغا, محمد جميل",حلب,جامعة حلب,1989,537,القانون الاجتماعي,14398
913_26/05,جغرافية البحار والمحيطات,"أغاشامر, جمال",دمشق,مطبعة جامعة دمشق,1989,426,جغرافية المحيطات,14399
930/10,النقود المغربية في القرن الثامن عشر: أنظمتها وأوزانها في منطقة سوس,آفا عمر,الرباط,منشورات كلية الآداب والعلوم الانسانية,1993,215,علم التاريخ,14400
964/192,الصحراء وسوس من خلال الوثائق والمخطوطات: التواصل والآفاق,أفا عمر,الرباط,منشورات كلية الآداب والعلوم الانسانية,2001,261,تاريخ المغرب,14401
964/223,تاريخ المغرب المعاصر: دراسات في المصادر والمجتع والاقتصاد,أفا عمر,الرباط,منشورات كلية الآداب والعلوم الانسانية,2002,399,تاريخ المغرب,14402
964/134,مسألة النقود في تاريخ المغرب في القرن التاسع عشر,"آفا, عمر",البيضاء,مطبعة النجاح الجديدة,1988,479,تاريخ المغرب,14403
964/07,مسألة النقود في تاريخ المغرب في القرن التاسع عشر (سوس 1822-1906),"أفا, عمر",الدار البيضاء,مطبعة النجاح الجديدة,1988,479,تاريخ المغرب,14404
336.74/10,البنك المركزي الأردني,آفاق التطورات النقدية الدولية والتعاون النقدي العربي خلال الثمانينات,عمان,N/A,1984,479,النقود,14405
37.018.2/02,الجمود والتجديد في التربية المدرسية,"آفانزيني, غي",بيروت,دار العلم للملايين,1981,605,التربية والتعليم,14406
37.018.2/03,الجمود والتجديد في التربية المدرسية,"أفانزيني, غي",بيروت,دار العلم للملايين,1981,605,التربية والتعليم,14407
778.5/01,الخطاب السينمائي بين الكتابة والتأويل,"أفاية, محمد نور الدين",الرباط,عكاظ,1988,148,السينما,14408
82-83/02,"الهوية والإختلاف في المرأة, الكتابة والهامش","أفاية, محمد نور الدين",الدار البيضاء,إفريقيا الشرق,1988,122,الحوار الفلسفي,14409
1/60,القوانين,أفلاطون,القاهرة,مطابع الهيئة المصرية العامة للكتاب,1986,569,فلسفة,14410
1/75,محاورة جورجياس,أفلاطون,مصر,الهيئة المصرية العامة,1970,153,الفلسفةاليونانية,14411
184/01,جمهورية أفلاطون,أفلاطون,القاهرة,دار الكاتب العربي,1968,396,فلسفة أفلاطون,14412
184/03,فيدون وكتاب التفاحة المنسوب لسقراط,أفلاطون,مصر,دار المعارف,1965,384,فلسفة أفلاطون,14413
186/01,التساعية الرابعةلأفلوطين في النفس,أفلوطين,القاهرة,الهيئة المصرية العامة للتأليف والنشر,1970,341,فلسفة أفلوطين,14414
82-992/13,ناصر الدين على القوم الكافرين مختصر رحلة الشهاب إلى لقاء الأحباب,"أفوقاي, أحمد بن قاسم الحجري",البيضاء,مطبعة النجاح,1987,151,الرحلات,14415
82-1_مغ/12,شاعر الحمراء في الغربال,"إقبال, أحمد الشرقاوي",N/A,N/A,N/A,196,الأدب المغربي,14416
297.95/29,الأزمات الروحية و الفكرية في عالمنا المعاصر,أكادمية المملكة المغربية,الرباط,أكادمية المملكة المغربية,1981,129,الإسلام والقضايا العالمية المعاصرة,14417
321.7/02,شروط التوفيق بين مدة الإنتداب الرئاسي و بين الإستمرارية في السياسة الداخلية و الخارجية في الأنظمةالديموقراطية,أكادمية المملكة المغربية,فاس,أكادمية المملكة المغربية,1985,197,الديمقراطية,14418
82-1/123,ديوان ابن فركون,أكادمية المملكة المغربية,الدار البيضاء,مطبعة النجاح الجديدة,1987,408,ديوان شعري,14419
911/24,الماء والتغدية وتزايد السكان: القسم الأول,أكادمية المملكة المغربية,الرباط,أكاديمية المملكة المغربية,1982,166,الجغرافية العامة,14420
330.191.6/33,الاتحاد السوفيتي:التعجيل بالتنمية الاقتصادية الاجتماعية,أكاديمية العلوم السوفيتية,موسكو,دار ناؤوكا,1987,263,الاقتصاد العالمي,14421
327/52,وماذالو اختفت عملية السلام في الشرق الأوسط,أكاديمية المملكة المربية,الرباط,أكاديمية المملكة المعربية,1997,582,الغلاقات السياسية الدولية,14422
330.191.6/117,"لماذا احترقت ""النمور"" الأسيوية?",أكاديمية المملكة المربية,الرباط,أكاديمية المملكة المعربية,1998,504,الإقتصاد العالمي,14423
911/29,الماء والتغذية وتزايد السكان: القسمالثاني,أكاديمية المملكة المعربية,مراكش,أكاديمية المملكة المعربية,1982,287,جغرافيةعامة,14424
001/01,وقائع الجلسات العموميةالرسمية بمناسبة استقبال الأعضاء الجدد.,أكاديمية المملكة المغربية,الرباط.,أكاديمية المملكة المغربية.,1986,257,عموميات:منظمات علمية.,14425
008/25,محاضرات الأكاديمية,أكاديمية المملكة المغربية,الرباط,أكاديمية المملكة المغربية,1988,368,الثقافة - التراث,14426
008/47,العولمة والهوية: موضوع الدورة الأولى لسنة 1997,أكاديمية المملكة المغربية,الرباط,مطبوعات أكاديمية,1997,464,الثقافة,14427
008_64/05,مستقبل الهوية المغربية امام التحديات المعاصرة: ندوة لجنة القيم الروحية والفكرية,أكاديمية المملكة المغربية,الرباط,أكاديمية المملكة المغربية,1998,312,الحضارة المغربية,14428
008_64/06,المغرب في الدراسات الإستشراقية: موضوع الندوة السادسة للجنة القيم الروحيةوالفكرية,أكاديمية المملكة المغربية,مراكش,أكاديمية المملكة المغربية,1993,230,الثقافة: الإستشراق,14429
1:297/23,فلسفة التشريع الإسلامي,أكاديمية المملكة المغربية,الرباط,مطبوعات أكاديمية المملكة المغربية,1987,196,التشريع الإسلامي,14430
17/07,القضايا الخلقية الناجمة عن التحكم في تقنيات الإنجاب,أكاديمية المملكة المغربية,المغرب,أكاديمية المملكة المغربية,1986,530,الأخلاق,14431
17/09,حقوق الإنسان والتصرف في الجينات,أكاديمية المملكة المغربية,المغرب,أكاديمية المملكة المغربية,1997,424,الأخلاق,14432
297.4/65,الشريعة والفقه والقانون,أكاديمية المملكة المغربية,الرباط,أكاديمية المملكة المغربية,1989,152,الفقه والشريعة,14434
297.43/10,نظام الحقوق في الإسلام,أكاديمية المملكة المغربية,الرباط,أكاديمية المملكة المغربيةى,1990,132,التشريع الإسلامي: الحقوق,14435
297.43/19,فلسفة التشريع الاسلامي,أكاديمية المملكة المغربية,الرباط,مكتبة المعارف الجديدة,1987,196,فلسفة إسلامية,14436
297.74/05,حلقة وصل بين الشرق والغرب: أبو حامد الغزالي وموسى بن ميمون,أكاديمية المملكة المغربية,الرباط,أكاديمية المملكة المغربية,1985,650,سير الفقهاء,14437
297.912/05,أسس العلاقات الدولية في الإسلام,أكاديمية المملكة المغربية,الرباط,أكاديمية المملكة المغربية,1989,108,الإسلام والعلوم السياسية,14438
325.1/01,هجرة المغاربة إلى الخارج,أكاديمية المملكة المغربية,الرباط,مطبعة المعارف الجديدة,N/A,255,سياسة الهجرة,14439
327.5/35,هل يشكل انتشار الأسلحة النووية غامل ردع,أكاديمية المملكة المغربية,الرباط,مطبعة المعارف الجديدة,2000,336,المنازعات الدولية,14440
33/77,الإمكانات الإقتصادية والسيادة الدبلوماسية,أكاديمية المملكة المغربية,فاس,أكاديمية المملكة المغربية,1983,298,الإقتصاد السياسي,14441
330.191.6/123,أوروبا الإتنثي عشرة دولة والآخرون,أكاديمية المملكة المغربية,الرباط,أكاديمية المملكة المغربية,1992,343,الإقتصاد العالمي,14442
330.191.6/16,خصائص في الجنوب حيرة في الشمال,أكاديمية المملكة المغربية,الرباط,أكاديمية المملكة المغربية,1988,345,الاقتصاد العالمي,14443
330.191.6/72,الإحتمائية الإقتصادية وسياسة الهجرة,أكاديمية المملكة المغربية,الرباط,الهلال العربية للطباعة والنشر,1994,294,الإقتصاد العالمي,14444
330.191.6/92,الإمكانيات الإقتصادية والسيادة الدبلوماسية,أكاديمية المملكة المغربية,الرباط,أكاديمية المملكة المغربية,1983,394,الإقتصاد العالمي,14445
330.191.6/95,ضرورة الإنسان الإقتصادي من أجل الإقلاع الإقتصادي لدول أوروباالشرقية,أكاديمية المملكة المغربية,الرباط,أكاديمية المملكة المغربية,1990,418,الإقتصاد العالمي,14446
34/01,"لم يبق لدول أستنجدت بالأمم المتحدة كما استنجدت بها هذه الأيام, كما أن هيئة المم المتحدة لم تكن أكثر نشاطا ...",أكاديمية المملكة المغربية,البيضاء,مطابع سلا,1991,384,الاقتصاد القضائي,14448
341.012/01,رؤساء الدول أمام حق تقرير المصير وواجب الحفاظ على الوحدة الوطنية والترابية,أكاديمية المملكة المغربية,الرباط,أكاديمية المملكة المغربية,1994,287,القانون الدولي,14449
341.012/02,حق الشعوب في تقرير مصيرها,أكاديمية المملكة المغربية,الرياط,أكاديمية المملكة المغربية,1984,377,القانون الدولي,14450
341.1/07,مطبوعات أكاديمية المملكة المغربية,أكاديمية المملكة المغربية,الرباط,أكاديمية المملكة المغربية,1991,383,المنظمات الدولية,14451
341.217/01,أوجه التشابه الواجب توفرها بين الدول الساعية لتأسيس مجموعة لإقليمية,أكاديمية المملكة المغربية,مدريد,أكاديمية المملكة,1410,450,القانون الدولي,14452
341/09,هل يعطي حق التدخل شرعية جديدة للاستعمار,أكاديمية المملكة المغربية,الرباط,أطلال العربية للطباعة والنشر,1992,444,القانون الدولي,14453
341/21,القرصنة والقانون الأممي,أكاديمية المملكة المغربية,الرباط,المملكة المغربية,1986,N/A,القانون الدولي,14454
342.7/08,حقوق الإنسان والتشغيل بين التنافسية والآلية,أكاديمية المملكة المغربية,الرباط,المملكة المغربية,1996,368,الحقوق الإنسانية,14455
342.7/10,الدول النامية بين المطلب الديموقراطي وبين الولوية الاقثصادية,أكاديمية المملكة المغربية,الرباط,أكاديمية المملكة المغربية,1995,393,الحقوق الساسية,14456
351.77/01,التدابير التي ينبغي اتخادها والوسائل اللازمة تعبئتها في حالة وقوع حادثة نووية,أكاديمية المملكة المغربية,الدار البيضاء,مطبعة النجاح الجديدة,1988,375,حماية الصحة العامة,14458
378/39,"الجامعة,البحث العلمي والتنمية",أكاديمية المملكة المغربية,الرباط,أكاديمية المملكة المغربية,1989,164,التعليم العالي,14459
52/02,الإلتزامات الخلقية والسياسية في غزو الفضاء,أكاديمية المملكة المغربية,الدار البيضاء,أكاديمية المملكة المغربية,1984,180,علم الفلك,14460
800.87/06,قضايا استعمال اللغة العربية في المغرب,أكاديمية المملكة المغربية,N/A,مطبوعات أكاديمية المملكة المغربية,1993,416,اللهجات تقنيات اللغة,14461
801.11/01,الحرف العربي والتكنولوجيا,أكاديمية المملكة المغربية,الرباط,أكاديمية المملكة المغربية,1989,164,الحروف,14462
911/25,الماء والتغدية وتزايد السكان: القسم الأول,أكاديمية المملكة المغربية,الرباط,أكاديمية المملكة المغربية,1982,166,الجغرافية العامة,14463
911/26,الماء والتغدية وتزايد السكان. القسم الثاني,أكاديمية المملكة المغربية,مراكش,أكاديمية المملكة المغربية,1982,150,الجغرافية العامة,14464
930.85/27,التراث الحضاري المشترك بين إسبانيا والمغرب,أكاديمية المملكة المغربية,الرباط,الهلال العربية للطباعة والنشر,1993,362,تاريخ الحضارة,14465
941/01,أوربا الإثنتي عشرة دولة والآخرون,أكاديمية المملكة المغربية,الرباط,الهلال العربية للطباعة والنشر,1992,205,تاريخ الدول الأوربية,14466
941/02,أي مستقبل لحوض البحر الأبيض المتوسط والإتحاد الأوروبي?,أكاديمية المملكة المغربية,الرباط,مطبعة المعارف الجديدة,1996,189,تاريخ الدولة الأوروبية وحوض البحر الأبيض المتوسط,14467
956.96/11,القدس تاريخيا وفكريا,أكاديمية المملكة المغربية,الرباط,مطابع عكاظ,1981,128,تاريخ فلسطين,14468
964/194,المغرب في الدراسات الإستشراقية,أكاديمية المملكة المغربية,الرباط,الهلال العربية للطباعة والنشر,1995,230,تاريخ المغرب,14469
82.03/10,الترجمة العلمية,أكاديمية المملكةالمغربية,الرباط,الهلال العربية للطباعة والنشر,1995,316,الترجمة,14471
37/80,دراسة تقويمية لبرامج ومناهج الطور الأول من التعليم الأساسي,أكاديمية فاس,فاس,أكاديمية فاس,1991,196,التربية والتعليم,14472
33/45,الاقتصاد الكلي النظرية والسياسات. الجزء الأول,"أكلي, ج,",بغداد,جامعة الموصل,1980,604,الاقتصاد السياسي,14473
33/46,الاقتصاد الكلي النظرية والسياسات,"أكلي, ج,",بغداد,جامعة الموصل,1984,1053,الاقتصاد السياسي,14474
631.4/04,الأرض المفقودة,"أكهولم, إريك",القاهرة,مؤسسة دار التعاون,1976,249,علم التربة,14475
82-1/32,أنشودة الخليج,"آل ثاني, مبارك بن يوسف",الدوحة,الشرقية,1984,152,ديوان شعري,14476
82-1/33,الليل...والضفاف,"آل ثاني, مبارك يوسف",الدوحة,الشرقية,1983,160,ديوان شعري,14477
614/03,الصحة العامة,"آل شاكر, خليل",دمشق,جامعة دمشق,1989,195,الوقاية العمومية,14478
297.2/106,طريق الرشد إلى تخريج أحاديث بداية ابن رشد,"آل عبد اللطيف, عبد اللطيف بن ابراهيم",المدينة المنورة,مركز شؤون الدعوة,N/A,510,الحديث,14479
297.4/04,مجموعة رسائل الشيخ عبد الله بن زيد آل محمود. المجلد الثالث,"آل محمود, عبد الله بن زيد",بيروت - دمشق,المكتب الإسلامي,1983,287,الفقه والشريعة,14480
347.627.2/01,الحكم الشرعي في الطلاق السني والبدعي ورسائل أخرى,"آل محمود, عبد الله بن زيد",قطر,مطابع قطر الوطنية,1984,285,قانون الاحوال الشخصية,14481
03/21 ج1,الرافد: معجم لغوي للإنسان والبيئة,"آل ناصر الدين, الأمير أمين",بيروت,مكتبة لبنان,1971,198,المعجم اللغوي,14482
1:297/113,فيلسوفان رائدان: الكندي والفارابي,"آل ياسين, جعفر",بيروت,دار الاندلس,1980,204,فلسفة اسلامية,14483
1:297/121,الفيلسوف الشيرازي ومكانته في تجديد الفكر الفلسفي في الاسلام,"آل ياسين, جعفر",بيروت,منشورات عويدات,1978,174,فلسفةاسلامية,14484
16/04,المنطق السينوي: عرض ودراسة للنظرية المنطقية عند ابن سينا,"آل ياسين, جعفر",بيروت,دار الآفاق الجديدة,1983,193,المنطق : ابن سينا,14485
297.23/03,سلسلة الأحاديث الصحيحة وشيء من فقهها وفوائدها. المجلد الأول : 401 - 500,"ألألباني, محمد ناصر الدين",N/A,منشورات المكتب ألإسلامي,N/A,276,الحديث : تفسير,14486
82-31_091/01,تاريخ الرواية الحديثة,"ألبيريس, ر,-م",باريس - بيروت,منشورات البحر المتوسط ومنشورات عويدات,1982,476,الرواية الحديثة,14487
371.3/23,الموجز في طرق تدريس اللغة العربية,"ءلسيد, محمود أحمد",بيروت,دار العودة,1980,143,مناهج وطرق التدريس,14488
82-91/01 ج1,المكتبة الثقافية,ألف ليلة وليلة,بيروت,N/A,1979,512,الأدب الشعبي,14489
37/97,دليل توصيات: اجتماعات وحلقات وندوات المنظمة العربية للتربية والثقافة والعلوم.,"ألكسو,",تونس,ألكسو,1983,218,التربية والتعليم.,14493
37/22,التربية وقضايا الطاقة الاهداف والممارسات العملية,"ألن, رودني ف,",الرياض,مكتب التربية العربي لدول الخليج,1986,95,التربية والتعليم,14494
342.7/07,N/A,آليات مكافحة التعديب,N/A,N/A,N/A,46,الحقوق الإنسانية,14495
693.55/09,التطبيقات العملية للبيتون المسلج: الحساب على أساس الحالات الحدية,"إلياس, جورج",حلب,مديرية الكتب والمطبوعات الجامعية,1991,304,البناء بالبيتون المسلح,14496
693.55/10 ج1,البيتون مسبق الاجهاد. الجزء الأول,"إلياس, جورج",حلب,مديرية الكتب والمطبوعات الجامعية,1981,286,البناء بالبيتون المسلح,14497
801.56/73,القياس في النحو مع تحقيق باب الشاذ من المسائل العسكريات لأبي علي الفارسي,"إلياس, منى",دمشق,دار الفكر,1985,226,النحو العربي,14498
801.56/82,دراسات نحوية,"إلياس, منى",دمشق,مطبعة دار الكتاب,1991,277,النحو العربي,14499
331.83/01,مستقبل الحماية الإجتماعية للعاملين,"إلياس, يوسف",القاهرة,منظمة العمل العربية,1995,71,الوضعية الإقتصادية والإجتماعية للعمال,14500
371.67/02,إنتاج المواد التعليمية: دليل للمعلمين والمدربين,"ألينجتون, هنري",الرياض,"جامعة الملك سعود, عمادة شؤون المكتبات",1993,396,الوسائل والأدوات التعليمية,14501
659/11,وسائل الإعلام والمجتمع الحديث,"إمام, إبراهيم",القاهرة,دار الفكر العربي,1971,390,الإعلام,14502
160/01,المنهج الجدلي عند هيجل: دراسة لمنطق هيجل,"إمام, عبد الفتاح إمام",بيروت,دار التنوير,1982,407,المنطق الهيجلي,14503
912/02,الأطلس الوطني للجماهيرية العربية الليبية الشعبية الإشتراكية,أمانة التخطيط,طرابلس,أمانة التخطيط,1978,118,التعريف بالبلدان بواسطة آطاليس,14504
327/53,الإرتقاء إلى العالمية: السياسة الحارجية الأمريكيةمنذ عام 1938,"أمبروز, ستيكن إى",القاهرة,المكتبة الأكاديمية,1994,481,العلاقات السياسية الدولية,14505
631.8/01,الإحياء الدقيقة والتسميد الحيوي الجزء النظري,"أمرير, علي شريف",حلب,N/A,1991,405,الأسمدة,14506
930.23/01,الخطاب التاريخي: دراسة لمنهجية ابن خلدون,"أمليل, علي",بيروت,معهد الإنماء العربي,1977,229,النقد التاريخي,14507
03/12,معجم الخطأ والصواب في اللغة,"أميل, يعقوب",بيروت,دار العلم للملايين,1983,383,المعجم اللغوي,14508
297/138,التكامل في الإسلام. الجزء الأول والتاني,"أمين, أحمد",ايران,دار الكتب العلمية,N/A,224,الإسلام,14509
297/139,التكامل في الإسلام. الجزء الثالث والرابع,"أمين, أحمد",ايران,دار الكتب العلمية,N/A,223,الإسلام,14510
297/140,"التكامل في الإسلام. الجزء الخامس , السادس والسابع","أمين, أحمد",ايران,دار الكتب العلمية,1385,220,الإسلام,14511
82.09/22,النقد الأدبي. الجزء الأول: في أصول النقد ومبادئه. الجزء التاني: في تاريخه عن الإفرنج والعرب,"أمين, أحمد",القاهرة,مكتبة النهضة المصرية,1972,456,النقد الأدبي,14512
82-6/18,إلى ولدي,"أمين, أحمد",القاهرة,مكتبة النهضة المصرية,1976,182,الرسائل,14513
92/44,زعماء الإصلاح في العصر الحديث,"أمين, أحمد",بيروت,دار الكتاب العربي,N/A,341,بيوغرافيا,14514
93:297/90,فجر الاسلام: يبحث عن الحياة العقلية في صدر الاسلام إلى آخر الدولة الأموية,"أمين, أحمد",القاهرة,مكتبة النهضة المصرية,1975,233,تاريخ الاسلام,14515
93:297/91 ج1,ضحى الاسلام,"أمين, أحمد",بيروت,دار الكتاب العربي,N/A,410,تاريخ الاسلام,14516
93:297/91 ج2,ضحى الإسلام,"أمين, أحمد",بيروت,دار الكتاب العربي,N/A,363,تاريخ الإسلام,14517
93:297/92 ج1-2,ظهر الإسلام,"أمين, أحمد",بيروت,دار الكتاب العربي,1969,629,تاريخ الإسلام,14519
93/07,القدس وعلاقتها ببعض العواصم والمدن الإسلامية,"أمين, حسين",بغداد,دار الحربة للطباعة,1988,92,تاريخ,14521
93:297/109,المدرسة المستنصرية,"أمين, حسين",N/A,وزارة المعاريف,1960,136,تاريخ الاسلام,14522
956.96/12,القدس وعلاقاتها ببعض العواصم والمدن الإسلامية,"أمين, حسين",بغداد,دار الحرية للطباعة,1988,111,تاريخ فلسطين,14523
33/20,الماوية والتحريفية,"أمين, سمير",بيروت,دار الحداثة,1984,188,الاقتصاد السياسي,14524
33/49,المغرب العربي الحديث,"أمين, سمير",بيروت,دار الحداثة,1981,306,الاقتصاد السياسي,14525
330.148/01,التطور الامتكافىء,"أمين, سمير",بيروت,دار الطليعة,1980,298,الرأسمالية,14526
330.191.6/44,التراكم على الصعيد العالمي: نقد نظرية التخلف,"أمين, سمير",بيروت,دار الطليعة,1978,359,الاقتصاد العالمي,14527
1/25,الفلسفة الرواقية,"أمين, عثمان",القاهرة,مكتبة الأنجلو المصرية,1971,400,الفلسفة اليونانية,14528
82.091/95,الأعمال الكاملة. الجزء الأول,"أمين, قاسم",لبنان,المؤسسة العربية للدراسات والنشر,1976,251,دراسات أدبية مقارنة,14529
327/01,مفاهيم وحدة القارة الامريكية: الإديولوجيا والسياسة,"آنتياسف, مارات قاسيلييقيتش",بيروت,دار الفارابي,1986,354,العلاقات السياسية الدولية,14530
911/27,مقدمة الى تخطيط الموارد البشرية في البلدان النامية,"أندراس, اوتهوف",جنيف,مكتب العمل الدولي,1993,91,الجغرافية البشرية,14531
940/04,تاريخ القرن الثامن عشر في أوروبة,"أندرسون, ماتيو",دمشق,دار الفكر,1981,498,تاريخ أوروبا,14532
961/01,تاريخ افريقيا الشمالية. الجزء الأول,"أندري جوليان, شارل",تونس,الدار التونسية للنشر,1978,386,تاريخ شمال افريقيا,14533
961/02,تاريخ إفريقيا الشمالية. الجزء التاني,"أندري جوليان, شارل",تونس,الدار التونسية للنشر,1978,396,تاريخ شمال إفريقيا,14534
961/10,إفريقيا الشمالية تسير القوميات الاسلامية والسيادة الفرنسية,"أندري جوليان, شارل",الجزائر,الشركة الوطنية للنشر والتوزيع,1976,486,تاريخ شمال افريقيا,14535
62-78/04,التلوث والأمن الصناعي,"أنطكي, سعيد",سوريا,جامعة حلب,1990,380,الأمن الصناعي,14536
1:297/47,ابن رشد وفلسفته مع نصوص المناظرة بين: محمد عبده وفرح أنطون,"أنطون, فرح",بيروت,دار الفرابي,1988,350,فلسفة إسلامية,14537
101.9/39,ابن رشد وفلسفته : مع نصوص المناظرة بين محمد عبده وفرح أنطون,"أنطون, فرح",بيروت,دار الطليعة للطباعة والنشر,1981,223,شخصيات فلسفية : ابن رشد,14538
93_927/07,يقضة العرب: تاريخ حركة العرب القومية,"أنطونيوس, جورج",بيروت,دار العلم للملايين,1980,653,تاريخ العرب,14539
801.41/01,الأصوات اللغوية,"أنيس, إبراهيم",القاهرة,مكتبة الأنجلو المصرية,1981,278,علم الأصوات,14540
801.54/01,دلالة الألفاظ,"أنيس, إبراهيم",القاهرة,مكتبة الأنجلو المصرية,1980,268,علم الدلالة,14541
801.54/09,في اللهجات العربية,"أنيس, إبراهيم",القاهرة,مكتبة الأنجلو المصرية,1965,341,علم الدلالة,14542
693.55/08 ج1,البيتون المسلح: الجزء الأول : الدراسة النظرية. تصميم المقاطع - حساب العناصر الإنشائية,"أنيس, نادر نبيل",حلب,مديرية الكتب والمطبوعات الجامعية,1990,394,البناء بالبيتون المسلح,14543
693.55/08 ج2,البتون المسلح. الجزء الثاني,"أنيس, نادر نبيل",حلب,مديرية الكتب والمطبوعات الجامعية,1992,256,البناء بالبيتون المسلح,14544
956.0/02,التراجيديا القبرصية,"أوبرلينغ, بيار",N/A,N/A,N/A,71,تاريخ قبرص,14545
159.9.072/04,تحليل المضمون ومنهجية البحث,"أوزي, أحمد",الرباط,الشركة المغربية للطباعة والنشر,1993,105,علم النفس: تحليل المضمون,14546
159.9.052/07,الطفل والمجتمع: دراسة نفسية اجتماعية لصورة الطفل المغربي من خلال الرواية,"أوزي, احمد",الدار البيضاء,مطبعة النجاح الجديدة,1988,281,علم النفس الاجتماعي: صورة الطفل,14547
323.1_65/01,اليسار الفرنسي والحركة الوطنية المغربية. ( 1905 - 1955 ). الجزء الثاني,"أوفيد, جورج",البيضاء,دار توبقال للنشر,1988,181,الحركات الوطنية,14548
323.1/30,اليسار الفرنسي والحركة الوطنية المغربية ( 1905 - 1955 ). الجزء الأول,"أوفيد,جورج",البيضاء,دار توبقال للنشر,1987,168,الحركات الوطنية,14549
792/01,تصميم الحركة,"أوكسنفورد, لين",بغداد,مؤسسة دار الكتب للطباعة والنشر,1981,101,المسرح,14550
1:297/29,الفكر العربي ومكانه في التاريخ,"أوليري, ديلاسي",القاهرة,المؤسسة المصرية العامة,N/A,300,فلسفة إسلامية,14551
1:297/30,الفكر العربي ومركزه في التاريخ,"أوليري, ديلاسي",بيروت,دار الكتاب اللبناني,1972,279,فلسفة إسلامية,14552
3/02,العرقية إزاء العلم,أونسكو,بيروت,دار الثقافة,1950,256,العلوم الإجتماعية,14553
159.9/47,بدايات علم النفس الحديث,"أونيل, و,م,",بغداد,دار الشؤون الثقافية العامة,1987,207,علم النفس,14554
792/07,"من الأعمال المختارة: ظمأ, عبودية, ضباب, مبحرون شرقا إلى كارديف, في المنطقة, بدر على البحر الكاريبي","أونيل, يوجين",الكويت,وزارة الأعلام,1976,351,المسرح,14555
297.4813/04 ج1,الإمام الشافعي: الإحتفاء بذكرى مرور إتني عشر قرنا على وفاته. الجزء الأول,إيسيسكو,ايسيسكو,منشورات المنظمة الإسلامية للتربية والعلوم والثقافة,1994,550,المذهب الشافعي,14556
297.74/06 ج1,الإمام الطبري في ذكرى مرور أحد عشر قرنا على وفاته (310ه - 1410ه): فقيها. الجزء الأول,إيسيسكو,N/A,إيسيسكو,1992,360,سير الفقهاء,14557
297.74/06 ج2,الإمام الطبري في ذكرى مرور أحد عشر قرنا على وفاته(310 هـ - 1410 هـ). الجزء الثاني: مؤرخا ومفسرا,إيسيسكو,N/A,إسيسكو,1992,368,سير الفقهاء: الطبري,14558
297.76/01 ج1,الإمام جلال الدين السيوطي: بذكرى مرور خمسة قرون على وفاته. الجزء الأول,إيسيسكو,N/A,المنظمة العالمية للتربية والثقافة والعلوم,1995,252,سير المتصوفة,14559
297.76/01 ج2,الإمام جلال الدين السيوطي: الإحتفاء بذكرى مرور خمسة قرون على وفاته. الجزء التاني,إيسيسكو,N/A,إيسيسكو,1995,352,سير المتصوفة,14560
37.014.5/31,15 سنة من الإنجازات,إيسيسكو,سلا,إيسيسكو,1997,184,سياسة التربية,14561
37.014/06,التعليم في الدول الاسلامية ومتطلبات التنمية الشاملة. أبحاث الندوة التي نظمتها الايسيسكو في البحرين 1996,إيسيسكو,الرباط,إيسيسكو,1998,102,سياسة التربية: التربية والتنمية,14562
37.014/07,التكامل بين التعليم النظامي وغيرالنظامي,إيسيسكو,الرباط,إيسيسكو,1998,138,سياسة التربية,14563
