Cote,Titre,Auteur,Lieu,Edition,Annee,Nb pages,Matiere,Inventaire
297.7/15 ج2,رجال الفكر والدعوة في الإسلام. الجزء الثاني: خاص بحياة شيخ الإسلام الحافظ أحمد بن تيمية,"الندوي, أبو الحسن علي الحسني",الكويت,دار القلم,1983,341,تراجم وأعلام,18457
297_091/01,ماذا خسر العالم بانحطاط المسلمين,"الندوي, أبو الحسن علي الحسيني",الكويت,دار القلم,1977,326,تاريخ الإسلام,18458
792/04,الإخراج المسرحي,"النزويرث, كارل",القاهرة,مكتبة الأنجلو المصرية,1980,512,المسرح,18459
297.1/16,فضائل القرآن,"النسائي, أحمد بن شعيب",الدار البيضاء,دار الثقافة,1980,144,القرآن,18460
82-32_620/01,تطور فن القصة القصيرة في مصر من سنة 1910 إلى 1933,"النساج, سيد حامد",القاهرة,دار الكتاب العربي,1968,415,القصة المصرية,18461
297.125/75,تفسير النسفي. المجلد الأول,"النسفي, أبو البركات عبد الله بن أحمد بن محمود",القاهرة,دار احياء الكتب العربية,N/A,331,القرآن : تفسير,18462
297.125/76,تفسير النسفي. المجلد الثاني,"النسفي, أبو البركات عبد الله بن أحمد بن محمود",القاهرة,دار احياء الكتب العربية,N/A,388,القرآن : تفسير,18463
63/34,إيكاردا,النسيج الهش: النظام الدولي للبحوث الزراعية,حلب,N/A,1985,28,الزراعة,18464
1:297/02,نشأة الفكر الفلسفي في الإسلام,"النشار, علي سامي",مصر,دار المعارف,1975,566,فلسفة إسلامية,18465
1:297/04 ج2,نشأة الفكر الفلسفي في الإسلام: نشأة التشييع وتطوره,"النشار, علي سامي",القاهرة,دار المعارف,1977,424,فلسفة إسلامية,18467
1:297/04 ج3,نشأة الفكر الفلسفي في الإسلام: الزهد والتصوف في القرنيين الأول والثاني الهجريين,"النشار, علي سامي",القاهرة,دار المعارف,1978,430,فلسفة إسلامية,18468
1:297/51,مناهج البحث عند مفكري الإسلام واكتشاف المنهج العلمي في العالم الإسلامي,"النشار, علي سامي",القاهرة,دار المعرف,1978,303,فلسفة إسلامية,18469
1:297/51 م2,مناهج البحث عند مفكري الاسلام واكتشاف المنهج العلمي في العالم الإسلامي,"النشار, علي سامي",القاهرة,دار المعارف,1966,425,فلسفة إسلامية: المنطق,18470
297.7/04,شهداء الإسلام في عهد النبوة,"النشار, علي سامي",N/A,N/A,N/A,293,تراجم وأعلام,18471
378.11/01,الإدارة الجامعية: التطوير والترقعات,"النشار, محمد حمدي",مصر,الجهاز المركزي للكتب الجامعية والمدرسية والوسائل التعليمية,1976,406,التعليم الجامعي,18472
101.9/45,فكرة الألوهية عند أفلاطون وأثرها في الفلسفة الإسلامية والغربية,"النشار, مصطفى حسن",بيروت,دار التنوير للطباعة والنشر,1984,378,شخصيات فلسفية : أفلاطون,18473
297/46,الإسلام الصحيح : بحث وتحقيق,"النشاشيبي, محمد اسعاف",بيروت,دار العودة,1985,357,الإسلام,18474
